225,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, -0.5], [86, 1.0], [89, 0.5], [73, 1.0], [57, 1.0], [206, 1.0], [60, 1.0], [207, -0.5], [24, 1.0], [51, 0.5], [123, 1.0], [68, -1.0], [72, 1.0], [74, -1.0], [160, -1.0], [125, 0.0], [31, -1.0], [120, 0.5], [53, 1.0], [25, 1.0], [66, 0.0], [58, -1.0], [216, -1.0], [63, -1.0], [200, -1.0], [56, 1.0], [165, -1.0]]
978,30,[[78, 1.0], [154, -1.0], [152, -1.0], [111, 1.0], [166, -1.0], [2, -1.0], [140, 1.0], [197, -1.0], [167, -1.0], [203, 1.0], [150, -1.0], [80, -1.0], [160, 1.0], [189, -1.0], [198, -1.0], [127, -1.0], [202, 0.5], [142, 1.0], [190, 1.0], [147, -1.0], [11, -1.0], [211, 1.0], [46, 1.0], [145, -1.0], [53, 1.0], [162, -1.0], [141, 1.0], [120, 0.5], [216, 1.0], [180, 0.0]]
822,30,[[78, -1.0], [75, -1.0], [8, 0.0], [163, -1.0], [87, 1.0], [168, -1.0], [179, 1.0], [207, -1.0], [70, 1.0], [206, 1.0], [177, 1.0], [159, 0.5], [57, -1.0], [116, 1.0], [114, -1.0], [90, -1.0], [110, 1.0], [58, -1.0], [144, -1.0], [201, -1.0], [73, -1.0], [165, 1.0], [149, -1.0], [46, -1.0], [42, 1.0], [19, -1.0], [50, 0.0], [210, 1.0], [56, -1.0], [217, 1.0]]
7,30,[[78, -1.0], [75, 1.0], [92, -0.5], [137, -1.0], [106, -1.0], [1, 1.0], [64, 1.0], [165, 1.0], [167, 1.0], [47, 0.0], [59, -1.0], [179, 1.0], [30, -1.0], [203, -0.5], [10, -1.0], [38, -0.5], [29, -1.0], [115, -1.0], [200, 1.0], [118, -1.0], [153, 1.0], [140, -1.0], [127, 0.5], [217, 0.5], [41, -0.5], [174, 1.0], [94, 0.0], [95, 0.0], [40, 0.0], [72, 0.0]]
77,30,[[78, -1.0], [75, 1.0], [92, 0.0], [94, 1.0], [134, -1.0], [101, -1.0], [91, 1.0], [206, 0.0], [210, -1.0], [95, 0.0], [202, 0.0], [121, 0.0], [90, 0.0], [136, 1.0], [212, 0.5], [126, 0.5], [87, 0.0], [81, 1.0], [59, 0.5], [96, 0.5], [165, 0.0], [93, 0.5], [215, 0.0], [32, 0.0], [181, 0.0], [84, 0.0], [86, 0.0], [40, 0.0], [193, 1.0], [109, 0.0]]
174,30,[[78, -0.5], [8, -1.0], [75, -1.0], [216, -1.0], [86, 0.0], [110, 1.0], [152, 1.0], [211, -1.0], [173, -1.0], [172, 1.0], [156, -1.0], [54, -1.0], [198, 1.0], [202, -1.0], [176, -1.0], [69, -1.0], [55, 0.5], [87, -1.0], [207, -0.5], [158, -1.0], [25, 0.5], [214, 0.0], [76, -1.0], [123, 0.0], [163, 0.5], [206, 0.0], [167, 0.0], [209, -1.0], [171, -1.0], [155, -1.0]]
193,30,[[78, 1.0], [154, 1.0], [160, 1.0], [183, -0.5], [204, 0.5], [15, 1.0], [62, -1.0], [99, 1.0], [55, 1.0], [82, -1.0], [171, 0.0], [108, 0.0], [67, -1.0], [195, 1.0], [214, 0.0], [23, -1.0], [127, -1.0], [72, 1.0], [9, 0.0], [32, 1.0], [146, 0.0], [36, 0.0], [35, 1.0], [65, 0.0], [179, 0.5], [84, 1.0], [207, 1.0], [165, 0.5], [81, 0.0], [66, -1.0]]
267,30,[[78, 0.0], [79, 0.0], [163, 1.0], [183, 1.0], [106, 0.0], [110, 1.0], [182, 1.0], [206, 1.0], [155, 1.0], [152, -0.5], [51, 1.0], [58, -1.0], [196, 1.0], [10, 1.0], [207, -1.0], [193, 1.0], [47, -1.0], [57, 1.0], [208, -0.5], [166, 0.0], [55, 1.0], [164, 1.0], [167, 0.0], [67, 0.0], [76, -1.0], [171, 0.5], [154, 0.5], [161, 1.0], [59, -1.0], [205, 1.0]]
712,30,[[78, 1.0], [154, -1.0], [152, -1.0], [111, 0.5], [180, 1.0], [113, -0.5], [11, 1.0], [110, -1.0], [3, 1.0], [190, -1.0], [171, -1.0], [166, 1.0], [194, 1.0], [71, 1.0], [205, -1.0], [179, 1.0], [162, 1.0], [189, 1.0], [69, -0.5], [160, -1.0], [164, 1.0], [55, -1.0], [167, 1.0], [208, -0.5], [143, -0.5], [207, -0.5], [181, -1.0], [63, 1.0], [88, -0.5], [168, 1.0]]
296,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, 0.5], [216, 0.0], [76, -1.0], [73, 1.0], [154, 1.0], [200, 1.0], [69, -1.0], [164, 1.0], [62, -1.0], [60, 1.0], [191, 1.0], [170, 0.0], [68, -1.0], [24, -1.0], [189, -1.0], [55, 1.0], [174, -1.0], [40, -1.0], [205, 1.0], [165, 0.5], [32, 0.5], [206, -1.0], [79, -1.0], [83, -1.0], [151, -1.0], [183, -1.0], [203, 0.0]]
130,30,[[78, 0.0], [79, 1.0], [86, 1.0], [168, 1.0], [2, -1.0], [166, -1.0], [197, -1.0], [114, -1.0], [70, -1.0], [53, -1.0], [72, 1.0], [167, 0.5], [67, 1.0], [148, -0.5], [80, -0.5], [150, 0.0], [179, 1.0], [165, -0.5], [217, 1.0], [143, 0.5], [69, -1.0], [90, 1.0], [145, -1.0], [46, 1.0], [188, 0.5], [160, -1.0], [204, 1.0], [38, -0.5], [73, 1.0], [158, 1.0]]
850,30,[[78, 0.5], [154, 0.5], [160, 1.0], [183, 1.0], [204, 1.0], [8, -1.0], [83, -1.0], [13, 1.0], [26, 1.0], [29, -1.0], [57, 1.0], [74, 0.5], [104, -0.5], [33, -0.5], [73, 0.5], [30, -0.5], [127, -1.0], [24, 1.0], [28, 0.0], [27, -0.5], [58, -1.0], [70, 0.5], [14, -1.0], [21, 1.0], [79, 0.5], [23, -1.0], [60, -1.0], [7, 0.0], [106, 1.0], [71, 0.0]]
345,30,[[78, 0.0], [79, 0.5], [152, -1.0], [168, -1.0], [163, -1.0], [179, 1.0], [90, -1.0], [216, 1.0], [197, -1.0], [204, -1.0], [68, -1.0], [192, -1.0], [62, -1.0], [208, 1.0], [171, 1.0], [166, 0.5], [67, -0.5], [80, 0.0], [37, 1.0], [198, 1.0], [55, -1.0], [167, 0.0], [207, 0.0], [88, 1.0], [81, 0.0], [61, -1.0], [73, 0.5], [160, -1.0], [162, 0.0], [159, 1.0]]
843,30,[[78, -0.5], [8, -1.0], [75, -1.0], [216, 1.0], [10, 1.0], [83, 1.0], [14, 1.0], [62, -1.0], [205, -1.0], [26, 1.0], [135, 0.5], [214, 0.5], [84, -1.0], [103, -1.0], [123, 1.0], [178, 1.0], [112, 0.0], [110, 1.0], [155, 0.0], [52, -0.5], [118, 0.5], [70, -1.0], [156, 0.5], [189, -1.0], [207, 0.5], [149, -0.5], [38, -1.0], [81, 1.0], [24, -0.5], [45, 1.0]]
327,30,[[78, 1.0], [154, 1.0], [160, 0.5], [62, 0.0], [73, 1.0], [85, -0.5], [68, 1.0], [17, 1.0], [164, -1.0], [81, -1.0], [70, -1.0], [147, -1.0], [108, 0.5], [38, -1.0], [217, 1.0], [112, 1.0], [33, -1.0], [36, 1.0], [72, -1.0], [195, -1.0], [209, -1.0], [42, -1.0], [171, 1.0], [214, 0.5], [74, -1.0], [110, 0.5], [60, 1.0], [156, -1.0], [86, -1.0], [71, 0.5]]
884,30,[[78, 1.0], [154, 0.5], [160, 0.0], [73, -1.0], [62, 1.0], [69, 0.0], [170, 1.0], [64, 1.0], [156, 1.0], [80, -1.0], [164, -1.0], [179, 1.0], [169, 1.0], [60, 1.0], [72, -1.0], [68, -1.0], [167, 0.5], [58, 0.5], [195, -1.0], [54, 1.0], [74, 1.0], [146, 1.0], [85, 0.0], [168, -1.0], [193, -1.0], [15, -1.0], [114, -1.0], [174, 0.5], [49, -1.0], [205, 1.0]]
721,30,[[78, 1.0], [154, 0.5], [160, 0.0], [73, 0.5], [70, -1.0], [85, 1.0], [156, 1.0], [155, 1.0], [79, -1.0], [67, 1.0], [117, 1.0], [39, 1.0], [147, 1.0], [71, 1.0], [69, -1.0], [15, 0.5], [180, 0.5], [54, -1.0], [165, 0.5], [115, 1.0], [62, 0.0], [204, 1.0], [111, -1.0], [36, -1.0], [63, 0.0], [110, 0.0], [114, 1.0], [149, -1.0], [45, 0.5], [173, -1.0]]
252,30,[[78, 1.0], [154, 1.0], [160, -1.0], [62, 1.0], [114, -0.5], [70, -0.5], [156, -0.5], [125, 1.0], [201, 1.0], [147, -1.0], [46, 1.0], [76, 0.0], [204, 0.0], [149, -1.0], [9, 1.0], [179, 0.0], [116, -1.0], [195, -1.0], [55, 1.0], [64, -1.0], [123, 0.0], [73, 1.0], [194, -1.0], [86, -0.5], [162, -0.5], [63, -0.5], [127, 0.0], [177, -0.5], [18, 0.5], [165, 0.0]]
446,30,[[78, 1.0], [154, -0.5], [73, 1.0], [152, -1.0], [111, 1.0], [166, -1.0], [140, 1.0], [202, 1.0], [207, -1.0], [158, -1.0], [151, 1.0], [211, -1.0], [71, -1.0], [115, 1.0], [44, 1.0], [212, 1.0], [108, -1.0], [109, 0.5], [160, 1.0], [87, 1.0], [80, 1.0], [164, 1.0], [88, 1.0], [189, 0.5], [167, 0.0], [66, 0.0], [175, -1.0], [213, 1.0], [15, 1.0], [181, -1.0]]
258,30,[[78, -1.0], [75, 1.0], [92, -1.0], [106, -1.0], [1, 1.0], [63, -1.0], [185, 0.0], [64, 1.0], [214, -1.0], [138, 1.0], [77, 0.5], [187, 1.0], [59, -1.0], [151, 0.5], [73, -1.0], [209, 1.0], [45, 1.0], [137, -1.0], [28, 1.0], [169, -1.0], [149, -1.0], [133, 0.5], [51, 1.0], [8, 0.0], [182, 0.0], [74, 0.5], [183, 0.0], [69, 0.0], [70, -1.0], [210, 1.0]]
236,30,[[78, 1.0], [154, -0.5], [73, 1.0], [152, -0.5], [111, -1.0], [70, 1.0], [160, 1.0], [169, 1.0], [63, 1.0], [146, -1.0], [144, 1.0], [181, -1.0], [72, -1.0], [87, -1.0], [15, 1.0], [180, -1.0], [204, 1.0], [217, -1.0], [216, 0.0], [164, 1.0], [69, 1.0], [90, 0.5], [198, -1.0], [203, 0.0], [209, -1.0], [211, 1.0], [17, -1.0], [40, 1.0], [114, 0.0], [210, -1.0]]
934,30,[[78, 1.0], [154, 0.0], [73, 1.0], [70, -1.0], [160, 1.0], [62, -0.5], [146, -1.0], [165, 1.0], [3, 1.0], [79, -1.0], [26, 1.0], [166, 0.5], [208, -1.0], [46, 1.0], [153, 1.0], [67, 1.0], [87, -1.0], [179, 1.0], [204, 1.0], [60, 1.0], [18, -1.0], [35, -1.0], [144, -1.0], [143, 0.5], [72, 1.0], [85, -0.5], [40, 1.0], [106, -1.0], [173, -1.0], [54, -0.5]]
287,30,[[78, 0.5], [154, 0.0], [160, 1.0], [183, -1.0], [62, -1.0], [38, 0.0], [204, -1.0], [60, 1.0], [179, 1.0], [164, -1.0], [191, -1.0], [54, -1.0], [87, -1.0], [152, -0.5], [33, -1.0], [207, 1.0], [217, -1.0], [139, 0.0], [197, 1.0], [163, -0.5], [74, -1.0], [146, 1.0], [24, -1.0], [201, 0.0], [90, -1.0], [181, -0.5], [67, 0.0], [29, -1.0], [18, 0.0], [185, -1.0]]
202,30,[[78, -1.0], [75, 1.0], [92, -1.0], [106, 1.0], [183, -1.0], [73, -1.0], [104, -1.0], [103, 0.5], [85, -1.0], [13, 0.0], [160, -1.0], [187, -1.0], [216, 1.0], [147, 1.0], [164, -1.0], [195, -1.0], [159, 0.0], [137, 0.0], [24, -1.0], [148, 1.0], [171, -0.5], [138, 0.0], [74, -1.0], [179, -1.0], [152, 0.0], [105, 0.0], [211, 1.0], [76, 1.0], [153, 1.0], [154, -1.0]]
910,30,[[78, -1.0], [75, 1.0], [92, 1.0], [93, -1.0], [91, 1.0], [121, 1.0], [85, -1.0], [34, -1.0], [31, -1.0], [63, -1.0], [26, 1.0], [119, 1.0], [25, -1.0], [209, -1.0], [115, 1.0], [23, 1.0], [61, -1.0], [210, -1.0], [72, 0.0], [57, 0.0], [107, 1.0], [117, -1.0], [152, 1.0], [81, -0.5], [126, -0.5], [27, 0.0], [128, 0.0], [24, 0.0], [55, 0.5], [66, 0.0]]
148,30,[[78, -1.0], [75, -1.0], [8, -1.0], [163, -1.0], [89, 1.0], [202, 1.0], [82, -1.0], [68, 1.0], [53, -1.0], [205, 1.0], [31, 1.0], [63, 1.0], [191, 1.0], [45, -1.0], [62, 1.0], [150, -1.0], [198, -1.0], [151, -1.0], [21, 1.0], [50, 0.5], [158, -1.0], [74, -1.0], [55, 1.0], [42, 1.0], [168, -1.0], [81, -1.0], [22, -1.0], [110, 0.0], [204, 1.0], [114, -1.0]]
811,30,[[78, 0.0], [79, 1.0], [86, 1.0], [168, -1.0], [152, -1.0], [197, -1.0], [167, 1.0], [166, -1.0], [160, 1.0], [37, 1.0], [171, -1.0], [165, 1.0], [208, -1.0], [38, -1.0], [58, 0.5], [73, 1.0], [162, 0.5], [177, -1.0], [89, 1.0], [34, 1.0], [204, 0.5], [207, 1.0], [216, -1.0], [186, 0.0], [15, -1.0], [200, -1.0], [50, 0.0], [209, 0.5], [210, -0.5], [90, 0.0]]
60,30,[[78, 0.5], [154, 0.0], [160, 1.0], [183, -0.5], [62, -0.5], [58, 1.0], [144, 1.0], [110, 1.0], [57, 1.0], [146, -1.0], [100, 0.5], [46, 0.5], [211, -0.5], [42, -1.0], [95, 0.0], [81, 0.0], [79, 0.5], [207, 0.5], [143, 0.0], [170, -1.0], [123, 0.5], [157, 0.0], [38, -0.5], [178, 0.0], [59, -1.0], [10, -1.0], [60, 0.0], [204, 0.0], [20, 0.0], [175, 0.0]]
349,30,[[78, -1.0], [75, 0.5], [99, -1.0], [216, -1.0], [1, 1.0], [64, -1.0], [62, 1.0], [74, 1.0], [84, 1.0], [119, 1.0], [108, 1.0], [63, -1.0], [44, 1.0], [159, 1.0], [195, -1.0], [194, 1.0], [138, -1.0], [157, 0.5], [69, 1.0], [72, -1.0], [181, -1.0], [60, 1.0], [114, 0.5], [59, -1.0], [48, 0.5], [85, -1.0], [185, 0.0], [38, -0.5], [171, 1.0], [183, -1.0]]
13,30,[[78, 0.0], [79, 0.0], [163, -1.0], [168, 1.0], [2, 1.0], [216, 1.0], [185, 1.0], [197, 1.0], [191, 1.0], [89, 1.0], [190, 1.0], [17, 1.0], [192, -1.0], [140, 0.0], [171, 1.0], [161, 0.0], [148, 1.0], [193, -1.0], [159, 1.0], [189, -1.0], [176, 0.0], [39, 0.0], [66, 0.0], [67, -0.5], [147, 1.0], [200, 0.0], [214, 0.5], [74, 1.0], [142, 1.0], [208, 1.0]]
90,30,[[78, 1.0], [154, -1.0], [152, -1.0], [111, 1.0], [166, 1.0], [118, 0.5], [89, 1.0], [121, 1.0], [17, 0.5], [173, -1.0], [165, 0.0], [80, -1.0], [101, 1.0], [211, 0.0], [55, 0.0], [92, -1.0], [113, 1.0], [215, 0.5], [212, 0.5], [123, -0.5], [160, -1.0], [91, 1.0], [187, -1.0], [58, -0.5], [16, -0.5], [200, -0.5], [50, -1.0], [109, 0.5], [216, 0.5], [29, -0.5]]
681,30,[[78, 0.0], [79, -0.5], [8, 0.0], [163, -1.0], [168, -1.0], [86, -1.0], [181, -1.0], [120, 1.0], [57, 1.0], [83, -1.0], [159, -1.0], [85, -1.0], [213, 1.0], [203, 0.5], [32, 0.5], [215, 0.5], [67, 1.0], [196, -1.0], [110, -1.0], [207, 1.0], [54, 1.0], [153, -1.0], [161, 0.0], [34, -1.0], [212, 0.5], [87, -1.0], [117, 0.0], [142, 0.0], [199, -1.0], [208, -1.0]]
603,30,[[78, 1.0], [154, 1.0], [160, 0.5], [62, 0.0], [73, 0.5], [70, -1.0], [15, 0.0], [85, -1.0], [79, -1.0], [208, 1.0], [170, 0.5], [157, 0.5], [22, 0.5], [69, 0.5], [8, 0.0], [217, 1.0], [24, -1.0], [58, -1.0], [210, 1.0], [206, 0.0], [18, 0.0], [60, -0.5], [71, 0.0], [47, 1.0], [203, 0.0], [149, -1.0], [66, 0.0], [178, 0.0], [52, -1.0], [148, 0.0]]
908,30,[[78, 1.0], [154, 1.0], [160, -1.0], [62, 0.5], [70, 1.0], [114, -1.0], [162, 1.0], [185, 1.0], [208, -1.0], [159, 1.0], [60, 1.0], [161, -1.0], [112, -1.0], [7, 0.0], [191, -1.0], [69, -1.0], [209, -1.0], [26, -1.0], [192, 1.0], [81, 0.0], [68, 1.0], [80, 1.0], [38, 1.0], [57, 0.0], [110, 0.0], [58, -1.0], [42, -1.0], [171, 1.0], [40, 1.0], [152, 1.0]]
619,30,[[78, 1.0], [154, 1.0], [160, 0.0], [73, 0.0], [204, 1.0], [156, 1.0], [155, 1.0], [60, -1.0], [15, -1.0], [118, 1.0], [16, -1.0], [169, 1.0], [71, 1.0], [38, 0.5], [115, -1.0], [51, -1.0], [26, -1.0], [56, 0.0], [123, 1.0], [82, 1.0], [122, -1.0], [205, 1.0], [195, -1.0], [34, -1.0], [67, -1.0], [80, 1.0], [42, -1.0], [45, 0.0], [24, 0.5], [74, 0.0]]
709,30,[[78, 1.0], [154, -1.0], [152, 1.0], [160, 1.0], [60, 1.0], [85, 1.0], [111, 1.0], [69, -1.0], [64, 1.0], [140, 1.0], [46, -1.0], [80, -1.0], [17, 1.0], [146, -1.0], [38, 1.0], [71, -1.0], [144, 1.0], [114, -1.0], [180, 1.0], [16, -1.0], [205, 1.0], [53, -1.0], [195, -1.0], [159, 1.0], [141, 0.5], [198, 1.0], [116, -1.0], [20, -1.0], [135, 0.0], [190, 1.0]]
414,30,[[78, 1.0], [154, 0.0], [73, -1.0], [160, 0.0], [170, -1.0], [62, 1.0], [63, 1.0], [180, 1.0], [7, 1.0], [190, -1.0], [70, -0.5], [116, 1.0], [23, -1.0], [140, 1.0], [152, 1.0], [171, 1.0], [146, 1.0], [189, 1.0], [149, -1.0], [46, 0.0], [120, 0.0], [204, -0.5], [207, 0.0], [195, 0.0], [28, -1.0], [141, 1.0], [37, -1.0], [194, -0.5], [191, -1.0], [115, -1.0]]
787,30,[[78, 1.0], [154, 0.0], [73, 0.0], [160, -1.0], [86, -1.0], [15, 1.0], [74, -1.0], [84, 1.0], [43, 1.0], [204, -1.0], [112, -1.0], [68, -1.0], [38, -0.5], [127, 1.0], [207, 0.0], [36, 1.0], [212, -1.0], [170, 0.0], [44, 0.5], [4, 0.0], [65, 0.5], [146, 1.0], [149, 0.0], [64, 0.0], [72, 0.0], [40, 0.0], [33, -1.0], [50, -1.0], [192, 0.5], [81, 0.0]]
260,30,[[78, 0.5], [154, -0.5], [73, -1.0], [79, 1.0], [62, 0.0], [170, 1.0], [64, 1.0], [67, 1.0], [57, 1.0], [143, 1.0], [86, -1.0], [144, 1.0], [69, -1.0], [47, -0.5], [164, 1.0], [15, 0.0], [71, 0.5], [179, -0.5], [156, 0.5], [168, 0.0], [157, 0.0], [208, -0.5], [49, -0.5], [74, 1.0], [145, 0.0], [173, -0.5], [185, -1.0], [65, -1.0], [106, 0.0], [201, -1.0]]
969,30,[[78, -1.0], [75, -0.5], [216, 0.0], [76, 1.0], [99, -1.0], [106, -0.5], [1, 1.0], [178, 1.0], [193, 1.0], [138, 1.0], [160, 1.0], [195, -1.0], [146, -1.0], [154, 0.5], [28, 1.0], [110, -1.0], [164, -1.0], [92, 0.0], [159, 1.0], [183, 0.5], [109, 0.0], [96, 0.0], [143, 0.0], [83, 0.0], [100, 0.0], [59, 0.5], [81, 1.0], [10, 0.0], [194, 1.0], [24, 0.5]]
